date,noComplaints,noResolvedComplaints,noProblems,noInfoSeeking
4/30/2015,49,52,49,0
05-01-2015,33,0,33,0
05-02-2015,27,0,27,0
05-03-2015,35,0,35,0
05-04-2015,41,0,41,0
05-05-2015,61,61,61,0
05-06-2015,58,62,58,0
05-07-2015,46,96,46,0
05-08-2015,59,101,59,0
05-09-2015,37,0,37,0
05-10-2015,21,0,21,0
05-11-2015,50,77,50,0
05-12-2015,71,50,71,0
5/13/2015,59,83,59,0
5/14/2015,48,79,48,0
5/15/2015,60,69,60,0
5/16/2015,36,0,36,0
5/17/2015,23,0,23,0
5/18/2015,58,28,58,0
5/19/2015,47,31,47,0
5/20/2015,44,3,44,0
5/21/2015,57,120,57,0
5/22/2015,56,95,56,0
5/23/2015,25,0,25,0
5/24/2015,30,0,30,0
5/25/2015,50,85,50,0
5/26/2015,62,115,62,0
5/27/2015,44,2,44,0
5/28/2015,59,93,59,0
5/29/2015,57,84,57,0
5/30/2015,29,0,29,0
5/31/2015,24,0,24,0
06-01-2015,51,12,51,0
06-02-2015,52,35,52,0
06-03-2015,64,86,64,0
06-04-2015,55,96,55,0
06-05-2015,47,39,47,0
06-06-2015,34,0,34,0
06-07-2015,20,0,20,0
06-08-2015,37,95,37,0
06-09-2015,59,80,59,0
06-10-2015,41,65,41,0
06-11-2015,47,67,47,0
06-12-2015,52,48,52,0
6/13/2015,38,0,38,0
6/14/2015,17,0,17,0
6/15/2015,43,27,43,0
6/16/2015,60,82,60,0
6/17/2015,74,62,74,0
6/18/2015,74,53,74,0
6/19/2015,43,0,43,0
6/20/2015,35,0,35,0
6/21/2015,28,0,28,0
6/22/2015,68,82,68,0
6/23/2015,103,53,103,0
6/24/2015,67,104,67,0
6/25/2015,63,102,63,0
6/26/2015,55,131,55,0
6/27/2015,42,0,42,0
6/28/2015,31,0,31,0
6/29/2015,82,76,82,0
6/30/2015,69,112,69,0
07-01-2015,77,80,77,0
07-02-2015,81,96,81,0
07-03-2015,64,47,64,0
07-04-2015,46,0,46,0
07-05-2015,26,0,26,0
07-06-2015,67,29,67,0
07-07-2015,114,115,114,0
07-08-2015,83,88,83,0
07-09-2015,71,129,71,0
07-10-2015,73,100,73,0
07-11-2015,38,0,38,0
07-12-2015,32,0,32,0
7/13/2015,84,48,84,0
7/14/2015,69,62,69,0
7/15/2015,93,106,93,0
7/16/2015,76,80,76,0
7/17/2015,81,100,81,0
7/18/2015,37,0,37,0
7/19/2015,20,0,20,0
7/20/2015,55,83,55,0
7/21/2015,81,95,81,0
7/22/2015,54,86,54,0
7/23/2015,75,92,75,0
7/24/2015,57,111,57,0
7/25/2015,39,0,39,0
7/26/2015,29,0,29,0
7/27/2015,53,94,53,0
7/28/2015,61,54,61,0
7/29/2015,65,62,65,0
7/30/2015,68,25,68,0
7/31/2015,61,136,61,0
08-01-2015,24,0,24,0
08-02-2015,14,0,14,0
08-03-2015,39,36,39,0
08-04-2015,54,47,54,0
08-05-2015,34,86,34,0
08-06-2015,65,76,65,0
08-07-2015,61,97,61,0
08-08-2015,28,0,28,0
08-09-2015,18,0,18,0
08-10-2015,63,18,63,0
08-11-2015,85,51,85,0
08-12-2015,69,95,69,0
8/13/2015,66,40,66,0
8/14/2015,56,73,56,0
8/15/2015,26,0,26,0
8/16/2015,20,0,20,0
8/17/2015,43,58,43,0
8/18/2015,53,0,53,0
8/19/2015,63,146,63,0
8/20/2015,38,72,38,0
8/21/2015,45,78,45,0
8/22/2015,30,0,30,0
8/23/2015,20,0,20,0
8/24/2015,58,35,58,0
8/25/2015,64,115,64,0
8/26/2015,80,48,80,0
8/27/2015,51,84,51,0
8/28/2015,60,88,60,0
8/29/2015,21,0,21,0
8/30/2015,23,0,23,0
8/31/2015,55,7,55,0
09-01-2015,54,0,54,0
09-02-2015,68,134,68,0
09-03-2015,56,81,56,0
09-04-2015,42,88,42,0
09-05-2015,39,0,39,0
09-06-2015,25,0,25,0
09-07-2015,47,75,47,0
09-08-2015,69,72,69,0
09-09-2015,56,71,56,0
09-10-2015,43,67,43,0
09-11-2015,38,76,38,0
09-12-2015,29,0,29,0
9/13/2015,16,0,16,0
