date,noComplaints,noResolvedComplaints,noProblems,noInfoSeeking
04-08-2017,173,0,127,46
04-09-2017,110,0,69,41
04-10-2017,324,547,198,126
04-11-2017,371,304,222,149
04-12-2017,264,314,174,90
4/13/2017,268,293,173,95
4/14/2017,167,0,103,64
4/15/2017,145,0,95,50
4/16/2017,111,0,73,38
4/17/2017,254,567,171,83
4/18/2017,296,309,188,108
4/19/2017,308,278,168,140
4/20/2017,244,365,178,66
4/21/2017,256,290,173,83
4/22/2017,132,0,79,53
4/23/2017,95,0,53,42
4/24/2017,271,440,175,96
4/25/2017,309,279,197,112
4/26/2017,309,282,179,130
4/27/2017,643,361,346,297
4/28/2017,959,746,587,372
4/29/2017,345,0,214,131
4/30/2017,170,0,102,68
05-01-2017,262,0,158,104
05-02-2017,470,639,304,166
05-03-2017,441,762,257,184
05-04-2017,451,590,280,171
05-05-2017,327,791,225,102
05-06-2017,194,0,116,78
05-07-2017,100,0,62,38
05-08-2017,308,633,204,104
05-09-2017,350,404,234,116
05-10-2017,298,0,192,106
05-11-2017,311,444,190,121
05-12-2017,330,436,212,118
5/13/2017,219,0,152,67
5/14/2017,125,0,84,41
5/15/2017,521,484,351,170
5/16/2017,461,537,325,136
5/17/2017,352,463,235,117
5/18/2017,338,502,242,96
5/19/2017,275,338,167,108
5/20/2017,179,0,125,54
5/21/2017,96,0,66,30
5/22/2017,320,433,202,118
5/23/2017,341,370,214,127
5/24/2017,308,296,199,109
5/25/2017,305,433,209,96
5/26/2017,424,268,316,108
5/27/2017,515,0,387,128
5/28/2017,199,0,143,56
5/29/2017,507,587,344,163
5/30/2017,362,540,245,117
5/31/2017,390,560,268,122
06-01-2017,362,678,256,106
06-02-2017,371,503,276,95
06-03-2017,255,0,180,75
06-04-2017,148,0,99,49
06-05-2017,393,574,278,115
06-06-2017,415,473,268,147
06-07-2017,374,483,244,130
06-08-2017,312,464,233,79
06-09-2017,321,330,203,118
06-10-2017,186,0,140,46
06-11-2017,149,0,102,47
06-12-2017,327,599,226,101
6/13/2017,347,411,240,107
6/14/2017,487,377,348,139
6/15/2017,294,458,190,104
6/16/2017,283,322,192,91
6/17/2017,204,0,138,66
6/18/2017,97,0,64,33
6/19/2017,357,540,247,110
6/20/2017,305,386,192,113
6/21/2017,248,346,162,86
6/22/2017,278,283,188,90
6/23/2017,255,303,161,94
6/24/2017,148,0,102,46
6/25/2017,85,0,52,33
6/26/2017,147,0,94,53
6/27/2017,216,493,166,50
6/28/2017,296,357,202,94
6/29/2017,335,313,233,102
6/30/2017,252,318,158,94
07-01-2017,187,0,143,44
07-02-2017,110,0,72,38
07-03-2017,259,558,163,96
07-04-2017,282,257,187,95
07-05-2017,305,177,205,100
07-06-2017,328,387,216,112
07-07-2017,283,303,182,101
07-08-2017,249,0,161,88
07-09-2017,145,0,114,31
07-10-2017,346,539,222,124
07-11-2017,326,465,192,134
07-12-2017,504,311,306,198
7/13/2017,377,517,242,135
7/14/2017,270,313,177,93
7/15/2017,171,0,121,50
7/16/2017,105,0,73,32
7/17/2017,283,407,168,115
7/18/2017,301,366,186,115
7/19/2017,275,313,180,95
7/20/2017,278,320,172,106
7/21/2017,262,298,160,102
7/22/2017,168,0,109,59
7/23/2017,114,0,73,41
7/24/2017,281,343,172,109
7/25/2017,319,377,177,142
7/26/2017,251,258,158,93
7/27/2017,372,414,251,121
7/28/2017,341,316,234,107
7/29/2017,168,0,105,63
7/30/2017,120,0,73,47
7/31/2017,375,498,190,185
08-01-2017,311,398,189,122
08-02-2017,371,328,228,143
08-03-2017,305,395,190,115
08-04-2017,278,385,179,99
08-05-2017,154,0,99,55
08-06-2017,97,0,57,40
08-07-2017,208,472,133,75
08-08-2017,326,354,215,111
08-09-2017,369,314,242,127
08-10-2017,255,383,151,104
08-11-2017,217,295,147,70
08-12-2017,117,0,92,25
8/13/2017,72,0,47,25
8/14/2017,162,352,115,47
8/15/2017,149,0,86,63
8/16/2017,290,382,174,116
8/17/2017,236,0,132,104
8/18/2017,273,403,158,115
8/19/2017,169,0,117,52
8/20/2017,114,0,66,48
8/21/2017,274,474,161,113
8/22/2017,260,426,158,102
8/23/2017,248,308,150,98
8/24/2017,186,320,148,38
8/25/2017,99,0,49,50
8/26/2017,113,0,78,35
8/27/2017,69,0,45,24
8/28/2017,220,344,136,84
8/29/2017,221,71,136,85
8/30/2017,176,0,121,55
8/31/2017,183,429,111,72
09-01-2017,191,332,109,82
09-02-2017,99,0,59,40
09-03-2017,81,0,50,31
09-04-2017,195,378,119,76
09-05-2017,208,188,137,71
09-06-2017,294,298,174,120
09-07-2017,255,303,178,77
09-08-2017,254,314,155,99
09-09-2017,149,0,93,56
09-10-2017,98,0,59,39
09-11-2017,238,410,140,98
09-12-2017,313,273,189,124
9/13/2017,297,341,173,124
9/14/2017,254,277,147,107
9/15/2017,239,261,153,86
9/16/2017,168,0,96,72
9/17/2017,109,0,61,48
9/18/2017,204,455,120,84
9/19/2017,217,316,127,90
9/20/2017,217,63,117,100
9/21/2017,210,424,112,98
9/22/2017,207,266,118,89
9/23/2017,125,0,83,42
9/24/2017,66,0,41,25
9/25/2017,187,340,123,64
9/26/2017,247,213,112,135
9/27/2017,240,241,108,132
9/28/2017,154,206,89,65
9/29/2017,182,222,72,110
9/30/2017,86,0,44,42
10-01-2017,65,0,39,26
10-02-2017,77,0,49,28
10-03-2017,217,333,134,83
10-04-2017,205,128,104,101
10-05-2017,286,293,133,153
10-06-2017,294,370,181,113
10-07-2017,203,0,136,67
10-08-2017,182,0,112,70
10-09-2017,327,519,178,149
10-10-2017,215,312,122,93
10-11-2017,258,378,176,82
10-12-2017,254,357,148,106
10/13/2017,278,243,191,87
10/14/2017,176,0,114,62
10/15/2017,40,0,22,18
