"date","open","high","low","volume","close"
2007-05-09,224.949997,227.679993,223.350006,5195100,226.570007
2007-05-10,225.5,226.979996,222.949997,4963100,223.100006
2007-05-11,223.910004,227.550003,223.600006,4956100,227.5
2007-05-14,228.029999,229,225.350006,4761900,226.179993
2007-05-15,226.190002,228.330002,224.259995,5771800,224.380005
2007-05-16,225.589996,227.960007,224.520004,5161400,227.110001
2007-05-17,226.75,227.929993,225.25,4185200,227.380005
2007-05-18,228.550003,231.220001,227.949997,6726900,230.339996
2007-05-21,230.649994,231.690002,228.559998,7778600,229.229996
2007-05-22,229.789993,231.660004,228.75,3568400,230.710007
2007-05-23,231.699997,232.410004,228.429993,4276600,228.539993
2007-05-24,229.369995,230.75,225.050003,6211000,225.679993
2007-05-25,226.809998,226.949997,224.190002,4068800,225.529999
2007-05-29,226.25,228.899994,226.029999,3734700,228.440002
2007-05-30,226.25,232,225.600006,5393000,232
2007-05-31,232.210007,233.970001,230.089996,4578100,230.820007
2007-06-01,232.080002,232.889999,229.589996,4093200,230.710007
2007-06-04,230,230.649994,227.940002,3411600,229.710007
2007-06-05,229.360001,230.330002,228.25,3676600,229.360001
2007-06-06,227.770004,227.940002,224.850006,4411400,227.350006
2007-06-07,226.289993,227.419998,219.339996,8363600,220.050003
2007-06-08,220.100006,225.070007,218.75,5903000,225.059998
2007-06-11,225.600006,227.570007,224.130005,4285600,227.160004
2007-06-12,226.899994,231.119995,225.580002,7474500,227.850006
2007-06-13,229,233.639999,228,7359000,233.639999
2007-06-14,227.710007,229.300003,225.009995,14381600,225.75
2007-06-15,227.330002,228.470001,226,7430400,226.190002
2007-06-18,226.550003,227.539993,224.800003,4370200,226.970001
2007-06-19,226.160004,229.570007,225.490005,4580200,229.470001
2007-06-20,229.75,230.330002,225.720001,5831400,225.889999
2007-06-21,225.979996,226.899994,222.199997,8340800,226.899994
2007-06-22,226.5,226.789993,220.270004,9778800,222.399994
2007-06-25,221.110001,223.169998,215.050003,11566700,216.740005
2007-06-26,217.699997,219.360001,214.169998,9711500,214.169998
2007-06-27,214,219.800003,212.559998,9018600,219.330002
2007-06-28,219.75,221.470001,217.669998,5980200,218.960007
2007-06-29,219.550003,220.440002,213.690002,7853800,216.75
2007-07-02,217.5,219.649994,216,5019900,219.179993
2007-07-03,220.339996,224.899994,219.990005,4676800,224.550003
2007-07-05,224.289993,224.289993,221.199997,5385600,221.320007
2007-07-06,220.759995,224.220001,220.699997,4122400,223.639999
2007-07-09,223.020004,225.770004,222.509995,3998900,223.300003
2007-07-10,220.990005,222.699997,216.520004,7960500,217.080002
2007-07-11,216.979996,219,214.649994,8924700,216.720001
2007-07-12,218.470001,220.289993,216.720001,6072900,220.289993
2007-07-13,220.059998,222.820007,219.199997,5605300,222.179993
2007-07-16,221.869995,223.449997,219.460007,4654500,220.399994
2007-07-17,221.740005,222.119995,218.649994,5582200,219.399994
2007-07-18,216.029999,218.520004,212.339996,11664000,214.990005
2007-07-19,217.080002,217.5,210.029999,9461900,211.690002
2007-07-20,211.169998,211.970001,204.789993,14540900,205.940002
2007-07-23,207.160004,207.880005,204.070007,7760400,205.039993
2007-07-24,202.630005,204.559998,196.770004,12344500,198.149994
2007-07-25,199.800003,203.75,197.779999,13933200,203.160004
2007-07-26,198,199.889999,189,22690900,195.119995
2007-07-27,194.669998,196.839996,190.509995,17054700,192.649994
2007-07-30,194.520004,197.600006,192.449997,12195100,195.740005
2007-07-31,198.550003,198.990005,187.25,14744900,188.339996
2007-08-01,187.029999,189.100006,182.850006,16284300,189
2007-08-02,189.149994,192.479996,185,13133400,187.460007
2007-08-03,185.410004,186.839996,179.679993,19828300,179.679993
2007-08-06,179.199997,187.860001,175,18867300,187.789993
2007-08-07,186.580002,194.639999,185.389999,22763100,191.25
2007-08-08,192.039993,198.5,188.759995,20622000,193.300003
2007-08-09,186.160004,190.649994,180.789993,20868400,182.25
2007-08-10,178.649994,184.410004,175.570007,20278700,180.5
2007-08-13,185.009995,187.25,176.610001,15296400,177.5
2007-08-14,178.600006,178.779999,169,26255900,169.75
2007-08-15,169,173.520004,163.830002,22268000,164.899994
2007-08-16,163.100006,171.410004,157.380005,31328800,169.850006
2007-08-17,178.119995,180.860001,170.5,26741100,175
2007-08-20,176.020004,176.389999,170.119995,13174400,172.759995
2007-08-21,172.5,177.300003,170,11796100,175.479996
2007-08-22,177.520004,180.050003,174.289993,13427000,177.889999
2007-08-23,179.789993,180.880005,175.919998,10549400,177.5
2007-08-24,176.770004,180.259995,175.600006,8935300,179.729996
2007-08-27,179.330002,180.050003,177.259995,6664000,177.949997
2007-08-28,175.009995,176.130005,170.25,11610600,170.949997
2007-08-29,172.380005,174.449997,167.919998,12797500,173.720001
2007-08-30,169.960007,173.429993,169.789993,9559600,171.380005
2007-08-31,175.649994,178.100006,173.869995,11023700,176.009995
2007-09-04,176.179993,183.699997,176.179993,10161800,180.800003
2007-09-05,179.679993,179.789993,176.899994,8987600,177.809998
2007-09-06,178.5,179.710007,175.360001,9250600,179.179993
2007-09-07,176.600006,181.050003,175,15144300,178.979996
2007-09-10,180.5,186.070007,178.5,12989300,183.610001
2007-09-11,185.5,187,182.5,11334500,183.5
